run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
54,100,32,0,0.0,90.0,0.8519291575676515,0.5236570542693678
55,100,41,0,0.0,90.0,0.8706852142852669,0.4918406831739509
56,100,32,0,0.0,90.0,0.8574720918973012,0.5145304768595017
57,100,47,0,0.0,90.0,0.9857224401883274,-0.16837835641545285
58,100,37,0,0.0,90.0,0.8552025098777113,0.5182939967806526
59,100,45,0,0.0,90.0,0.9636058485849173,0.26732708163024127
60,100,23,0,0.0,90.0,0.6630889315222678,-0.7485406260802798
61,100,25,0,0.0,90.0,0.997662096635915,0.06833989271304311
62,100,36,0,0.0,90.0,0.997553560127513,-0.06990632787469576
63,100,43,0,0.0,90.0,0.8104552416795441,-0.5858005643853135
64,100,24,0,0.0,90.0,0.9382259626023252,0.3460231828923322
65,100,27,0,0.0,90.0,0.8397001321562402,-0.5430503549918669
66,100,25,0,0.0,90.0,0.9917560468767266,-0.12814032731130373
67,100,27,0,0.0,90.0,0.982314278150418,0.18723957632355182
68,100,22,0,0.0,90.0,0.8655141102004896,0.5008845426281935
69,100,43,0,0.0,90.0,0.9865381176494326,0.16353147227587284
70,100,43,0,0.0,90.0,0.9705219049695727,0.2410129290603131
71,100,38,0,0.0,90.0,0.9793645139587608,0.20210182779559457
72,100,35,0,0.0,90.0,0.902826600803246,-0.4300048009988452
73,100,36,0,0.0,90.0,0.9859735738669938,-0.1669015027971521
74,100,26,0,0.0,90.0,0.7332198929059359,0.6799916092475022
75,100,31,0,0.0,90.0,0.6310659797645716,-0.7757291596838302
76,100,43,0,0.0,90.0,0.9862593957593493,-0.16520412911426674
77,100,38,0,0.0,90.0,0.9984911515165774,0.05491284315257583
78,100,48,0,0.0,90.0,0.988492112187099,-0.1512724169962515
79,100,24,0,0.0,90.0,0.9899151299156483,-0.14166169406048054
80,100,33,0,0.0,90.0,0.9764523955554063,0.2157329812849864
81,100,48,0,0.0,90.0,0.9985975211784247,-0.05294327810313504
82,100,20,0,0.0,90.0,0.9989997814151613,-0.04471506158398955
