run,N,p,n1,n2,angle1_deg,angle2_deg,dirX,dirY,bbox_X,bbox_Y
65,10,0.0,0,0,0.0,90.0,-0.4958641776797232,0.8684000905654097,63.818182948218414,42.936023033919525
66,10,0.0,0,0,0.0,90.0,0.9841915625696234,0.1771072222320792,56.51020655795048,49.02579790137348
67,10,0.0,0,0,0.0,90.0,0.2297131518930728,0.9732583767157362,46.53643683418915,56.75629229202695
68,10,0.0,0,0,0.0,90.0,0.32068157829145405,-0.9471870593206507,44.53883918912565,67.63428667601026
69,10,0.0,0,0,0.0,90.0,-0.6253632412476172,0.7803337853100264,60.557655646957905,56.272406380693454
70,10,0.0,0,0,0.0,90.0,-0.9417174180651275,0.3364049709988685,63.454587659419275,70.83681088167955
71,10,0.0,0,0,0.0,90.0,-0.6076871208714308,-0.7941765314632453,60.316520620636,44.306711687565674
72,10,0.0,0,0,0.0,90.0,-0.9988970091631995,0.046954926097427754,38.2738183231881,70.24395692899327
73,10,0.0,0,0,0.0,90.0,-0.12272678203501293,0.9924404954310009,61.190797725506314,51.78965166968626
74,10,0.0,0,0,0.0,90.0,-0.29768890347112326,-0.9546629335792609,57.98533999396384,65.78302296904366
75,10,0.0,0,0,0.0,90.0,-0.9626929449523477,0.27059618204803987,62.54952676040083,63.781147234527374
76,10,0.0,0,0,0.0,90.0,0.9015958985647046,0.4325792825498037,73.93772303905877,55.085157112936145
77,10,0.0,0,0,0.0,90.0,0.9205315661044174,0.3906681914430054,54.42617795783006,49.826067669044754
78,10,0.0,0,0,0.0,90.0,-0.5052817855726015,0.8629544119874256,55.9793094351195,50.86217279891538
79,10,0.0,0,0,0.0,90.0,-0.336541570954434,0.9416686099788617,54.209372807488776,55.23929261706174
80,10,0.0,0,0,0.0,90.0,-0.999235187277818,-0.03910294753422185,64.812109659643,46.04634891921446
81,10,0.0,0,0,0.0,90.0,-0.9834318861126663,0.18127803335452314,52.545615770416106,58.7552584583443
82,10,0.0,0,0,0.0,90.0,-0.774095947357904,0.6330682935387534,53.3669236746389,49.42335287517331
83,10,0.0,0,0,0.0,90.0,0.8504237660936858,-0.5260982969588783,55.295487825772085,53.83364603189047
84,10,0.0,0,0,0.0,90.0,0.8203053190049912,0.5719258549953129,49.54129099016096,59.741388368939084
85,10,0.0,0,0,0.0,90.0,-0.5358250888934157,-0.84432900821443,31.476173808456384,66.08637530922053
86,10,0.0,0,0,0.0,90.0,-0.7553846553515884,0.6552816359851404,64.60808058283484,56.76136835382793
87,10,0.0,0,0,0.0,90.0,-0.9273562379676934,0.3741796465635278,36.48512572076708,65.02504039322478
88,10,0.0,0,0,0.0,90.0,-0.9977354964900018,-0.06725978771784363,51.82174129822937,52.8771592801196
